,global_step,ratio
0,0,0.0
1,999,69.48
2,1999,74.58
3,2999,74.94
4,3999,74.6
5,4999,74.7
6,5999,71.0
7,6999,72.66
8,7999,76.56
9,8999,77.14
10,9999,75.58
11,10999,76.5
12,11999,77.16
13,12999,76.46
14,13999,76.14
15,14999,76.64
16,15999,76.82
17,16999,73.3
18,17999,73.44
19,18999,75.58
20,19999,76.74
