,global_step,ratio
0,0,0.0
1,999,74.88
2,1999,73.46
3,2999,74.72
4,3999,73.94
5,4999,72.64
6,5999,73.94
7,6999,73.02
8,7999,72.12
9,8999,72.5
10,9999,72.5
11,10999,71.1
12,11999,72.3
13,12999,71.5
14,13999,73.02
15,14999,73.08
16,15999,72.32
17,16999,70.36
18,17999,73.4
19,18999,74.32
20,19999,74.18
