,global_step,ratio
0,0,0.0
1,999,70.76
2,1999,68.1
3,2999,71.46
4,3999,75.86
5,4999,75.92
6,5999,78.04
7,6999,78.7
8,7999,79.18
9,8999,76.52
10,9999,78.46
11,10999,74.86
12,11999,77.76
13,12999,78.78
14,13999,78.18
15,14999,77.56
16,15999,78.44
17,16999,79.02
18,17999,77.96
19,18999,78.48
20,19999,78.74
