,global_step,ratio
0,0,0.0
1,999,76.56
2,1999,75.86
3,2999,69.14
4,3999,72.44
5,4999,76.48
6,5999,76.94
7,6999,77.48
8,7999,75.36
9,8999,77.42
10,9999,75.98
11,10999,75.54
12,11999,74.48
13,12999,78.24
14,13999,77.22
15,14999,74.24
16,15999,66.92
17,16999,77.68
18,17999,76.56
19,18999,77.38
20,19999,78.48
