,global_step,ratio
0,0,0.0
1,999,72.72
2,1999,74.08
3,2999,75.78
4,3999,76.86
5,4999,76.84
6,5999,74.16
7,6999,75.78
8,7999,76.38
9,8999,76.06
10,9999,76.82
11,10999,75.16
12,11999,75.24
13,12999,76.56
14,13999,76.34
15,14999,74.74
16,15999,76.62
17,16999,76.92
18,17999,76.12
19,18999,75.32
20,19999,76.7
