,global_step,ratio
0,0,0.0
1,999,69.48
2,1999,72.58
3,2999,73.76
4,3999,74.16
5,4999,75.84
6,5999,75.24
7,6999,77.18
8,7999,76.74
9,8999,76.46
10,9999,77.2
11,10999,76.62
12,11999,76.18
13,12999,76.32
14,13999,74.4
15,14999,76.24
16,15999,73.94
17,16999,74.66
18,17999,76.8
19,18999,73.92
20,19999,72.3
