,global_step,ratio
0,0,0.0
1,999,73.0
2,1999,75.7
3,2999,76.36
4,3999,76.76
5,4999,76.1
6,5999,76.82
7,6999,77.5
8,7999,76.86
9,8999,78.14
10,9999,75.9
11,10999,76.72
12,11999,76.92
13,12999,76.8
14,13999,77.46
15,14999,75.96
16,15999,75.78
17,16999,77.4
18,17999,76.76
19,18999,76.9
20,19999,76.62
