,global_step,ratio
0,0,0.0
1,999,74.0
2,1999,73.38
3,2999,76.78
4,3999,75.84
5,4999,76.62
6,5999,73.32
7,6999,76.5
8,7999,74.2
9,8999,75.82
10,9999,73.64
11,10999,76.0
12,11999,76.72
13,12999,74.12
14,13999,76.56
15,14999,76.88
16,15999,71.94
17,16999,76.76
18,17999,77.58
19,18999,76.06
20,19999,76.76
