,global_step,ratio
0,0,0.0
1,999,75.08
2,1999,77.24
3,2999,77.44
4,3999,76.1
5,4999,71.08
6,5999,76.12
7,6999,75.58
8,7999,76.72
9,8999,76.5
10,9999,76.7
11,10999,76.08
12,11999,77.3
13,12999,76.76
14,13999,77.14
15,14999,77.32
16,15999,77.42
17,16999,77.26
18,17999,74.14
19,18999,75.76
20,19999,76.5
