,global_step,ratio
0,0,0.0
1,999,76.48
2,1999,75.9
3,2999,66.44
4,3999,76.66
5,4999,75.78
6,5999,75.78
7,6999,75.62
8,7999,75.14
9,8999,74.36
10,9999,75.46
11,10999,72.54
12,11999,74.48
13,12999,70.86
14,13999,75.94
15,14999,75.44
16,15999,74.34
17,16999,75.04
18,17999,75.9
19,18999,75.6
20,19999,72.36
