,global_step,ratio
0,0,0.0
1,999,65.06
2,1999,73.76
3,2999,74.98
4,3999,71.64
5,4999,73.4
6,5999,74.24
7,6999,77.82
8,7999,76.78
9,8999,77.14
10,9999,76.3
11,10999,76.48
12,11999,74.18
13,12999,76.46
14,13999,76.82
15,14999,75.86
16,15999,72.58
17,16999,75.66
18,17999,76.08
19,18999,74.7
20,19999,76.28
