,global_step,ratio
0,0,0.0
1,999,68.88
2,1999,74.08
3,2999,74.96
4,3999,76.66
5,4999,77.82
6,5999,78.1
7,6999,78.04
8,7999,76.36
9,8999,78.46
10,9999,76.92
11,10999,77.88
12,11999,77.9
13,12999,78.22
14,13999,77.9
15,14999,77.2
16,15999,77.56
17,16999,77.44
18,17999,76.46
19,18999,77.92
20,19999,76.58
