,global_step,ratio
0,0,0.0
1,999,71.08
2,1999,75.4
3,2999,77.34
4,3999,78.02
5,4999,78.4
6,5999,77.64
7,6999,76.48
8,7999,77.2
9,8999,76.78
10,9999,76.66
11,10999,76.34
12,11999,76.5
13,12999,75.84
14,13999,75.78
15,14999,76.48
16,15999,76.4
17,16999,75.84
18,17999,76.44
19,18999,76.54
20,19999,75.14
