,global_step,ratio
0,0,0.0
1,999,70.68
2,1999,71.28
3,2999,75.46
4,3999,74.94
5,4999,77.46
6,5999,76.68
7,6999,76.96
8,7999,77.1
9,8999,77.38
10,9999,75.1
11,10999,77.12
12,11999,74.98
13,12999,77.42
14,13999,77.34
15,14999,76.34
16,15999,76.8
17,16999,78.1
18,17999,76.0
19,18999,76.96
20,19999,77.38
