,global_step,ratio
0,0,0.0
1,999,65.02
2,1999,65.14
3,2999,71.58
4,3999,72.52
5,4999,71.2
6,5999,72.9
7,6999,72.72
8,7999,76.18
9,8999,76.94
10,9999,74.76
11,10999,75.82
12,11999,74.84
13,12999,75.06
14,13999,76.8
15,14999,77.16
16,15999,76.8
17,16999,76.9
18,17999,76.14
19,18999,76.76
20,19999,74.32
