,global_step,ratio
0,0,0.0
1,999,66.42
2,1999,69.7
3,2999,73.76
4,3999,76.06
5,4999,75.94
6,5999,77.32
7,6999,76.56
8,7999,76.5
9,8999,77.1
10,9999,77.18
11,10999,76.8
12,11999,76.86
13,12999,76.06
14,13999,76.26
15,14999,76.4
16,15999,76.52
17,16999,76.7
18,17999,76.54
19,18999,76.2
20,19999,75.7
