,global_step,ratio
0,0,0.0
1,999,68.28
2,1999,74.94
3,2999,59.68
4,3999,62.04
5,4999,65.54
6,5999,60.26
7,6999,74.44
8,7999,65.3
9,8999,71.64
10,9999,53.26
11,10999,72.66
12,11999,64.0
13,12999,74.58
14,13999,73.38
15,14999,72.78
16,15999,72.94
17,16999,73.74
18,17999,68.06
19,18999,76.24
20,19999,73.74
