,global_step,ratio
0,0,0.0
1,999,71.94
2,1999,74.26
3,2999,75.14
4,3999,75.74
5,4999,77.04
6,5999,76.54
7,6999,76.02
8,7999,76.08
9,8999,76.92
10,9999,76.5
11,10999,75.7
12,11999,76.2
13,12999,76.24
14,13999,75.86
15,14999,75.58
16,15999,76.66
17,16999,76.54
18,17999,77.14
19,18999,76.02
20,19999,77.22
