,global_step,ratio
0,0,0.0
1,999,75.78
2,1999,76.1
3,2999,77.72
4,3999,77.44
5,4999,76.28
6,5999,76.16
7,6999,76.88
8,7999,76.34
9,8999,75.18
10,9999,76.94
11,10999,76.38
12,11999,76.64
13,12999,77.24
14,13999,77.66
15,14999,76.92
16,15999,77.66
17,16999,77.94
18,17999,77.0
19,18999,77.76
20,19999,77.54
