,global_step,ratio
0,0,0.0
1,999,65.46
2,1999,67.62
3,2999,68.54
4,3999,69.32
5,4999,68.52
6,5999,69.24
7,6999,66.04
8,7999,71.7
9,8999,72.0
10,9999,72.76
11,10999,72.84
12,11999,72.24
13,12999,73.44
14,13999,73.26
15,14999,73.64
16,15999,74.22
17,16999,73.48
18,17999,73.7
19,18999,74.54
20,19999,73.46
